Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,892,883,945,970,1138,805,1408,0.0,False
jmeter_view_page:open_page,7074,265,258,335,362,442,144,2960,0.0,False
jmeter_view_dashboard,1223,819,816,873,897,976,755,2200,0.0,False
jmeter_comment_page,915,72,68,83,90,120,54,694,0.0,False
jmeter_view_attachment,615,207,205,263,287,347,134,1553,0.0,False
jmeter_view_blog,1527,340,308,516,575,663,161,2989,0.0,False
jmeter_create_and_edit_page:create_page_editor,1062,146,141,159,166,212,118,864,0.0,False
jmeter_create_and_edit_page:create_page,1057,307,288,355,376,470,253,2165,0.0,False
jmeter_create_and_edit_page:open_editor,1057,49,46,54,60,76,39,314,0.0,False
jmeter_search_cql:recently_viewed,1367,20,18,25,27,35,7,298,0.0,False
jmeter_search_cql:search_results,1367,479,473,521,532,596,267,729,0.0,False
jmeter_create_and_edit_page:edit_page,1042,362,335,409,436,648,296,2761,0.0,False
jmeter_create_blog:blog_editor,452,162,155,179,189,258,135,1168,0.0,False
jmeter_create_blog:feel_and_publish,452,339,300,570,587,645,266,1185,0.0,False
jmeter_upload_attachment,747,390,368,500,557,646,288,1062,0.0,False
jmeter_like_page,296,28,26,43,45,60,15,98,0.0,False
selenium_login:open_login_page,203,129,122,131,134,149,114,1351,0.0,False
selenium_login:login_and_view_dashboard,203,277,273,307,323,332,237,430,0.0,False
selenium_login,203,478,468,504,519,550,427,1771,0.0,False
selenium_view_page,203,603,582,706,808,982,451,1229,0.0,False
selenium_create_page:open_create_page_editor,203,985,976,1061,1084,1135,825,1655,0.0,False
selenium_create_page:save_created_page,203,789,693,861,1233,2797,642,3882,0.0,False
selenium_create_page,203,1910,1812,2061,2455,3860,1632,5036,0.0,False
selenium_edit_page:open_create_page_editor,203,3078,2700,5830,6034,7400,1099,7722,0.0,False
selenium_edit_page:save_edited_page,203,880,839,1067,1222,1367,688,1417,0.0,False
selenium_edit_page,203,3980,3598,6626,7079,8303,1884,8821,0.0,False
selenium_create_comment:write_comment,203,397,282,737,753,773,218,780,0.0,False
selenium_create_comment:save_comment,203,545,611,658,668,679,135,683,0.0,False
selenium_create_comment,203,1470,1452,1862,1934,1987,836,2011,0.0,False
selenium_view_blog,203,754,734,881,995,1338,527,1424,0.0,False
selenium_view_dashboard,203,224,225,263,280,319,166,328,0.0,False
zscale_specific_user_login,609,436,426,480,491,528,389,565,0.0,True
view_test_cases_by_status_action,203,771,766,790,796,822,731,1282,0.0,True
view_test_cases_by_project_action,203,777,769,806,821,905,743,915,0.0,True
view_test_cases_by_folder_action,203,772,769,792,799,825,667,889,0.0,True
selenium_log_out,203,111,109,118,120,128,102,136,0.0,False
