Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,862,864,912,927,1053,801,1137,0.0,False
jmeter_view_page:open_page,7071,256,256,318,339,397,146,1228,0.0,False
jmeter_view_dashboard,1222,809,811,854,880,935,755,1070,0.0,False
jmeter_comment_page,915,68,66,80,87,110,52,280,0.0,False
jmeter_view_attachment,615,201,204,256,268,304,134,803,0.0,False
jmeter_view_blog,1526,308,284,489,538,591,166,964,0.0,False
jmeter_create_and_edit_page:create_page_editor,1062,138,132,149,159,195,116,1152,0.0,False
jmeter_create_and_edit_page:create_page,1057,298,282,346,358,453,243,655,0.0,False
jmeter_create_and_edit_page:open_editor,1057,47,44,52,58,72,39,263,0.0,False
jmeter_search_cql:recently_viewed,1366,20,18,25,26,34,7,243,0.0,False
jmeter_search_cql:search_results,1366,476,469,516,524,567,373,698,0.0,False
jmeter_create_and_edit_page:edit_page,1042,343,324,392,402,499,288,882,0.0,False
jmeter_create_blog:blog_editor,452,150,148,164,171,194,131,283,0.0,False
jmeter_create_blog:feel_and_publish,451,325,288,543,554,604,265,1246,0.0,False
jmeter_upload_attachment,746,384,371,500,539,635,267,1146,0.0,False
jmeter_like_page,296,28,24,42,44,50,15,250,0.0,False
selenium_login:open_login_page,38,178,132,141,151,1217,125,1843,0.0,False
selenium_login:login_and_view_dashboard,38,299,298,315,320,442,258,512,0.0,False
selenium_login,38,554,504,533,540,1733,455,2432,0.0,False
selenium_view_page,38,425,386,608,707,885,294,974,0.0,False
selenium_create_page:open_create_page_editor,38,853,826,900,951,1551,659,1892,0.0,False
selenium_create_page:save_created_page,38,690,665,733,760,1074,610,1249,0.0,False
selenium_create_page,38,1670,1622,1747,1783,2723,1422,3262,0.0,False
selenium_edit_page:open_create_page_editor,38,1646,1492,2522,2614,2652,1023,2668,0.0,False
selenium_edit_page:save_edited_page,38,791,762,883,954,1175,693,1293,0.0,False
selenium_edit_page,38,2462,2310,3366,3430,3560,1811,3572,0.0,False
selenium_create_comment:write_comment,38,431,276,730,743,765,242,775,0.0,False
selenium_create_comment:save_comment,38,479,624,657,662,665,120,666,0.0,False
selenium_create_comment,38,1326,1276,1739,1843,1902,816,1929,0.0,False
selenium_view_blog,38,525,519,668,701,799,336,840,0.0,False
selenium_view_dashboard,38,217,213,249,282,328,174,352,0.0,False
zscale_specific_user_login,114,467,458,508,513,533,409,538,0.0,True
view_test_cases_by_status_action,38,20554,20551,20577,20585,20592,20530,20593,100.0,True
view_test_cases_by_project_action,38,20576,20576,20591,20592,20597,20531,20598,100.0,True
view_test_cases_by_folder_action,38,20563,20562,20576,20585,20589,20534,20590,100.0,True
selenium_log_out,38,124,120,142,143,148,114,149,0.0,False
