Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,291,275,298,341,460,240,1837,0.0,False
jmeter_view_page:open_page,5288,697,645,946,1163,1490,409,2243,0.0,False
jmeter_view_dashboard,1436,258,257,308,322,400,156,456,0.0,False
jmeter_view_blog,2071,1272,1284,1640,1804,2128,434,4479,0.0,False
jmeter_create_and_edit_page:create_page_editor,1274,206,177,285,291,315,116,489,0.0,False
jmeter_create_and_edit_page:create_page,1274,558,548,619,656,722,484,1227,0.0,False
jmeter_create_and_edit_page:open_editor,1274,113,112,115,117,123,107,263,0.0,False
jmeter_create_and_edit_page:edit_page,1274,598,591,635,669,752,538,1110,0.0,False
jmeter_create_and_edit_page:quick_edit_page,1274,518,509,552,566,656,477,1089,0.0,False
jmeter_create_blog:blog_editor,637,269,286,303,311,378,193,466,0.0,False
jmeter_create_blog:feel_and_publish,637,925,1002,1121,1163,1277,556,1554,0.0,False
jmeter_search_cql:recently_viewed,1593,95,106,124,128,143,53,271,0.0,False
jmeter_search_cql:search_results,1592,254,249,284,299,406,200,485,0.0,False
jmeter_comment_page,1110,127,118,160,171,208,90,302,0.0,False
jmeter_view_attachment,791,495,476,623,652,744,311,1353,0.0,False
jmeter_upload_attachment,853,975,932,1267,1358,1576,625,2162,0.0,False
jmeter_like_page,463,159,140,188,192,273,114,328,0.0,False
selenium_login:open_login_page,34,140,122,131,168,503,115,651,0.0,False
selenium_login:login_and_view_dashboard,34,318,300,337,398,690,254,793,0.0,False
selenium_view_blog,34,1296,1264,1782,2089,2652,391,2804,0.0,False
selenium_view_dashboard,34,211,199,254,283,320,168,322,0.0,False
selenium_view_page,34,408,415,521,630,941,242,1057,0.0,False
selenium_view_page_from_cache,34,275,250,368,375,481,220,531,0.0,False
selenium_create_page:open_create_page_editor,34,316,266,299,305,1317,252,1813,0.0,False
selenium_create_page:save_created_page,34,219,210,226,251,355,196,404,0.0,False
selenium_edit_page_by_url:open_create_page_editor,34,338,312,427,480,753,242,850,0.0,False
selenium_edit_page_by_url:save_edited_page,34,312,288,429,460,527,241,550,0.0,False
selenium_quick_edit_page_click:open_create_page_editor,34,266,245,331,354,368,223,371,0.0,False
selenium_quick_edit_page_click:save_edited_page,34,273,260,346,356,378,234,388,0.0,False
selenium_create_comment:write_comment,34,891,780,1318,1427,1504,613,1514,0.0,False
selenium_create_comment:save_comment,34,603,581,662,665,685,574,693,0.0,False
selenium_create_comment,34,1954,1792,2639,2757,2899,1541,2948,0.0,False
zscale_specific_user_login,102,809,745,995,1011,1089,611,1155,0.0,True
view_test_cases_by_status_action,34,20464,20450,20762,20802,20856,20152,20875,100.0,True
view_test_cases_by_project_action,34,20476,20444,20774,20821,20872,20159,20877,100.0,True
view_test_cases_by_folder_action,34,20478,20443,20750,20822,20857,20154,20869,100.0,True
selenium_log_out,34,239,243,254,257,289,214,304,0.0,False
