Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,1438,1444,1551,1563,1635,1244,1760,0.0,False
jmeter_view_page:open_page,7011,241,217,325,351,452,164,1544,0.0,False
jmeter_view_dashboard,1211,1358,1349,1447,1468,1519,1223,2331,0.0,False
jmeter_comment_page,907,66,64,75,81,96,52,209,0.0,False
jmeter_view_attachment,610,186,169,256,283,341,126,451,0.0,False
jmeter_view_blog,1513,361,298,680,776,866,166,1125,0.0,False
jmeter_create_and_edit_page:create_page_editor,1054,138,133,148,154,187,113,974,0.0,False
jmeter_search_cql:recently_viewed,1354,17,17,23,24,30,5,108,0.0,False
jmeter_search_cql:search_results,1354,829,853,886,905,940,537,5303,0.0,False
jmeter_create_and_edit_page:create_page,1045,2729,287,10277,10290,10359,245,10396,0.0,False
jmeter_create_and_edit_page:open_editor,1045,46,44,54,59,69,36,209,0.0,False
jmeter_create_and_edit_page:edit_page,1027,2737,339,10294,10304,10380,288,10441,0.0,False
jmeter_create_blog:blog_editor,448,154,152,170,174,187,135,206,0.0,False
jmeter_create_blog:feel_and_publish,447,2953,303,10278,10287,10335,254,11476,0.0,False
jmeter_upload_attachment,739,2992,389,10306,10338,10431,270,20076,0.0,False
jmeter_like_page,293,28,23,42,45,68,15,102,0.0,False
selenium_login:open_login_page,36,140,130,146,151,332,123,429,0.0,False
selenium_login:login_and_view_dashboard,36,281,278,296,300,342,262,364,0.0,False
selenium_login,36,502,491,513,518,759,458,887,0.0,False
selenium_view_page,36,376,362,488,504,509,297,510,0.0,False
selenium_create_page:open_create_page_editor,36,776,779,827,833,865,670,879,0.0,False
selenium_create_page:save_created_page,36,3096,658,10400,10414,16976,610,20509,3.0,False
selenium_create_page,36,4006,1568,11337,11348,17902,1472,21426,3.0,False
selenium_edit_page:open_create_page_editor,36,5324,2056,20738,20806,20858,980,20859,19.0,False
selenium_edit_page:save_edited_page,29,833,774,1003,1298,1360,691,1379,0.0,False
selenium_edit_page,36,6014,2800,20738,20806,20858,1720,20859,19.0,False
selenium_create_comment:write_comment,36,549,654,704,710,712,231,713,0.0,False
selenium_create_comment:save_comment,36,483,616,654,656,660,131,661,0.0,False
selenium_create_comment,36,1397,1462,1720,1771,1851,730,1893,0.0,False
selenium_view_blog,36,580,569,762,863,1001,323,1041,0.0,False
selenium_view_dashboard,36,184,183,192,195,198,171,199,0.0,False
zscale_specific_user_login,108,477,476,490,496,528,454,541,0.0,True
view_test_cases_by_status_action,36,20576,20574,20588,20600,20695,20546,20739,100.0,True
view_test_cases_by_project_action,36,20581,20582,20594,20596,20602,20556,20604,100.0,True
view_test_cases_by_folder_action,36,20576,20580,20595,20600,20609,20543,20611,100.0,True
selenium_log_out,36,129,122,154,169,191,114,200,0.0,False
