Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,953,782,1252,1565,1715,651,2121,0.0,False
jmeter_view_dashboard,4232,290,287,311,318,331,259,492,0.0,False
jmeter_view_issue,14409,442,439,467,478,506,390,965,0.0,False
jmeter_view_scrum_board,3389,393,391,431,449,479,305,1031,0.0,False
jmeter_search_jql,4665,896,889,959,981,1026,771,1360,0.0,False
jmeter_view_backlog,2533,709,692,921,999,1079,489,1146,0.0,False
jmeter_create_issue:open_quick_create,1697,161,153,192,197,225,132,399,0.0,False
jmeter_create_issue:fill_and_submit_issue_form,1696,543,535,579,602,678,489,1449,0.0,False
jmeter_view_kanban_board,2955,391,377,461,479,511,347,559,0.0,False
jmeter_browse_projects,3798,159,155,174,179,187,143,296,0.0,False
jmeter_edit_issue:open_editor,2113,267,260,297,304,319,238,762,0.0,False
jmeter_edit_issue:save_edit,2113,611,605,657,694,982,376,1415,0.0,False
jmeter_view_project_summary,1266,343,341,367,377,404,294,517,0.0,False
jmeter_add_comment:open_comment,840,223,219,240,245,264,200,364,0.0,False
jmeter_add_comment:save_comment,840,627,621,674,700,750,553,951,0.0,False
jmeter_browse_boards,414,199,195,216,220,230,182,263,0.0,False
selenium_login:open_login_page,163,165,161,174,185,280,140,477,0.0,False
selenium_login:login_and_view_dashboard,163,839,815,866,918,1461,739,2031,0.0,False
selenium_login,163,1005,981,1039,1060,1740,891,2510,0.0,False
selenium_browse_projects_list,163,311,309,321,329,397,287,420,0.0,False
selenium_browse_boards_list,163,825,832,848,856,908,763,1011,0.0,False
selenium_create_issue:open_quick_create,163,678,677,705,714,752,624,806,0.0,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,163,809,694,1141,1146,1167,605,2130,0.0,False
selenium_create_issue:fill_and_submit_issue_form,163,1330,1242,1675,1694,1753,1017,2878,0.0,False
selenium_create_issue,163,2009,1924,2359,2385,2440,1644,3685,0.0,False
selenium_edit_issue:open_edit_issue_form,163,491,484,511,526,734,457,764,0.0,False
selenium_edit_issue:save_edit_issue_form,163,632,569,836,849,859,523,877,0.0,False
selenium_edit_issue,163,1646,1587,1857,1873,1898,1508,2134,0.0,False
selenium_save_comment:open_comment_form,163,339,361,391,493,525,223,558,0.0,False
selenium_save_comment:submit_form,163,951,952,1013,1043,1113,818,1222,0.0,False
selenium_save_comment,163,1633,1537,1937,1989,2054,1294,2120,0.0,False
selenium_search_jql,163,1285,1278,1363,1379,1421,1157,1852,0.0,False
selenium_view_scrum_board_backlog,163,1006,927,1179,1378,1398,882,1434,0.0,False
selenium_view_scrum_board,163,959,953,1035,1065,1092,881,1161,0.0,False
selenium_view_kanban_board,163,1270,1303,1573,1662,1745,843,1757,0.0,False
selenium_view_dashboard,163,528,484,600,732,962,439,1060,0.0,False
selenium_view_issue,163,689,689,756,782,806,540,830,0.0,False
selenium_project_summary,163,423,338,846,867,949,263,1035,0.0,False
zephyr_scale_view_test_case_in_issue_view,163,703,580,615,642,700,489,20851,1.0,True
zephyr_scale_view_test_cycle_in_issue_view,163,734,596,703,730,785,500,20577,1.0,True
zephyr_scale_view_test_plan_in_issue_view,163,726,581,710,742,884,486,20598,1.0,True
selenium_log_out,163,442,429,528,548,576,347,630,0.0,False
