Action,without app,with app,App-specific
jmeter_login_and_view_dashboard,1184,1198,False
jmeter_view_issue,465,496,False
jmeter_search_jql,986,1027,False
jmeter_view_dashboard,315,320,False
jmeter_view_scrum_board,432,443,False
jmeter_view_backlog,918,927,False
jmeter_create_issue:open_quick_create,190,193,False
jmeter_create_issue:fill_and_submit_issue_form,577,616,False
jmeter_view_kanban_board,486,488,False
jmeter_browse_projects,178,184,False
jmeter_edit_issue:open_editor,302,312,False
jmeter_edit_issue:save_edit,651,704,False
jmeter_view_project_summary,363,377,False
jmeter_add_comment:open_comment,239,248,False
jmeter_add_comment:save_comment,664,698,False
jmeter_browse_boards,214,229,False
selenium_login:open_login_page,133,136,False
selenium_login:login_and_view_dashboard,553,747,False
selenium_login,681,876,False
selenium_browse_projects_list,296,300,False
selenium_browse_boards_list,830,833,False
selenium_create_issue:open_quick_create,691,703,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,1142,1156,False
selenium_create_issue:fill_and_submit_issue_form,1682,1706,False
selenium_create_issue,2357,2389,False
selenium_edit_issue:open_edit_issue_form,474,493,False
selenium_edit_issue:save_edit_issue_form,558,577,False
selenium_edit_issue,1542,1590,False
selenium_save_comment:open_comment_form,357,373,False
selenium_save_comment:submit_form,883,971,False
selenium_save_comment,1793,1886,False
selenium_search_jql,1445,1651,False
selenium_view_scrum_board_backlog,1311,1343,False
selenium_view_scrum_board,964,1029,False
selenium_view_kanban_board,1482,1589,False
selenium_view_dashboard,298,556,False
selenium_view_issue,615,694,False
selenium_project_summary,829,362,False
selenium_log_out,414,442,False
