Action,1 Node,2 Nodes,4 Nodes,App-specific
jmeter_login_and_view_dashboard,939,951,945,False
jmeter_view_page:open_page,319,333,335,False
jmeter_view_dashboard,871,877,873,False
jmeter_comment_page,78,84,83,False
jmeter_view_attachment,258,262,263,False
jmeter_view_blog,497,521,516,False
jmeter_create_and_edit_page:create_page_editor,151,160,159,False
jmeter_create_and_edit_page:create_page,357,362,355,False
jmeter_create_and_edit_page:open_editor,54,56,54,False
jmeter_search_cql:recently_viewed,25,25,25,False
jmeter_search_cql:search_results,519,523,521,False
jmeter_create_and_edit_page:edit_page,420,397,409,False
jmeter_create_blog:blog_editor,167,184,179,False
jmeter_create_blog:feel_and_publish,515,564,570,False
jmeter_upload_attachment,489,486,500,False
jmeter_like_page,42,42,43,False
selenium_login:open_login_page,166,128,131,False
selenium_login:login_and_view_dashboard,293,306,307,False
selenium_login,514,501,504,False
selenium_view_page,671,718,706,False
selenium_create_page:open_create_page_editor,1029,1041,1061,False
selenium_create_page:save_created_page,802,755,861,False
selenium_create_page,1992,1924,2061,False
selenium_edit_page:open_create_page_editor,5870,6008,5830,False
selenium_edit_page:save_edited_page,1150,1157,1067,False
selenium_edit_page,6749,7062,6626,False
selenium_create_comment:write_comment,710,712,737,False
selenium_create_comment:save_comment,657,656,658,False
selenium_create_comment,1822,1858,1862,False
selenium_view_blog,908,932,881,False
selenium_view_dashboard,257,258,263,False
zscale_specific_user_login,491,471,480,True
view_test_cases_by_status_action,774,792,790,True
view_test_cases_by_project_action,785,798,806,True
view_test_cases_by_folder_action,777,787,792,True
selenium_log_out,164,122,118,False
