Action,without app,with app,App-specific
jmeter_login_and_view_dashboard,101,99,False
jmeter_view_page:open_page,288,247,False
jmeter_view_blog,500,471,False
jmeter_view_dashboard,99,97,False
jmeter_comment_page,41,40,False
jmeter_view_attachment,197,169,False
jmeter_search_cql:recently_viewed,16,18,False
jmeter_search_cql:search_results,5433,5307,False
jmeter_create_and_edit_page:create_page_editor,90,86,False
jmeter_create_and_edit_page:create_page,222,214,False
jmeter_create_and_edit_page:open_editor,16,15,False
jmeter_create_and_edit_page:edit_page,245,234,False
jmeter_create_and_edit_page:quick_edit_page,221,220,False
jmeter_create_blog:blog_editor,103,99,False
jmeter_create_blog:feel_and_publish,364,354,False
jmeter_upload_attachment,414,410,False
jmeter_like_page,25,25,False
jmeter_upload_emoji,131,104,False
selenium_login:open_login_page,90,91,False
selenium_login:login_and_view_dashboard,173,177,False
selenium_view_blog,740,1163,False
selenium_view_dashboard,144,158,False
selenium_view_page,349,776,False
selenium_view_page_from_cache,327,622,False
selenium_create_page:open_create_page_editor,333,945,False
selenium_create_page:save_created_page,197,666,False
selenium_edit_page_by_url:open_create_page_editor,290,950,False
selenium_edit_page_by_url:save_edited_page,326,774,False
selenium_quick_edit_page_click:open_create_page_editor,329,497,False
selenium_quick_edit_page_click:save_edited_page,318,674,False
selenium_create_comment:write_comment,1876,1884,False
selenium_create_comment:save_comment,605,608,False
selenium_create_comment,2884,3172,False
selenium_cql_search,6055,6302,False
selenium_log_out,182,184,False
