Action,1 Node,2 Nodes,4 Nodes,App-specific
jmeter_login_and_view_dashboard,114,105,136,False
jmeter_view_page:open_page,253,230,246,False
jmeter_view_blog,486,435,452,False
jmeter_view_dashboard,101,80,81,False
jmeter_comment_page,43,44,48,False
jmeter_view_attachment,174,167,178,False
jmeter_search_cql:recently_viewed,19,20,20,False
jmeter_search_cql:search_results,5823,4973,11735,False
jmeter_create_and_edit_page:create_page_editor,89,82,84,False
jmeter_create_and_edit_page:create_page,219,204,221,False
jmeter_create_and_edit_page:open_editor,15,15,16,False
jmeter_create_and_edit_page:edit_page,236,218,231,False
jmeter_create_and_edit_page:quick_edit_page,221,206,216,False
jmeter_create_blog:blog_editor,101,92,101,False
jmeter_create_blog:feel_and_publish,366,346,362,False
jmeter_upload_attachment,388,406,363,False
jmeter_like_page,25,23,26,False
jmeter_upload_emoji,107,109,125,False
selenium_login:open_login_page,89,87,89,False
selenium_login:login_and_view_dashboard,176,178,187,False
selenium_view_blog,1183,1158,1192,False
selenium_view_dashboard,163,155,160,False
selenium_view_page,801,808,835,False
selenium_view_page_from_cache,622,626,654,False
selenium_create_page:open_create_page_editor,1023,1013,999,False
selenium_create_page:save_created_page,664,696,700,False
selenium_edit_page_by_url:open_create_page_editor,933,981,924,False
selenium_edit_page_by_url:save_edited_page,797,814,784,False
selenium_quick_edit_page_click:open_create_page_editor,504,554,559,False
selenium_quick_edit_page_click:save_edited_page,640,730,675,False
selenium_create_comment:write_comment,1920,2081,2096,False
selenium_create_comment:save_comment,605,606,608,False
selenium_create_comment,3172,3390,3362,False
selenium_cql_search,6373,6159,8538,False
zscale_specific_user_login,1974,2051,2106,True
view_test_cases_by_status_action,816,846,914,True
view_test_cases_by_project_action,753,743,844,True
view_test_cases_by_folder_action,757,752,822,True
selenium_log_out,199,187,195,False
