Action,without app,with app,App-specific
jmeter_login_and_view_dashboard,443,413,False
jmeter_view_dashboard,200,192,False
jmeter_view_issue,297,289,False
jmeter_search_jql,699,686,False
jmeter_view_scrum_board,271,267,False
jmeter_view_backlog,435,429,False
jmeter_create_issue:open_quick_create,74,65,False
jmeter_create_issue:fill_and_submit_issue_form,216,195,False
jmeter_view_kanban_board,346,309,False
jmeter_browse_projects,106,105,False
jmeter_edit_issue:open_editor,141,140,False
jmeter_edit_issue:save_edit,365,370,False
jmeter_view_project_summary,178,154,False
jmeter_add_comment:open_comment,107,110,False
jmeter_add_comment:save_comment,377,323,False
jmeter_browse_boards,119,124,False
selenium_login:open_login_page,1188,1190,False
selenium_login:login_and_view_dashboard,3432,3328,False
selenium_login,4622,4519,False
selenium_project_summary,404,362,False
selenium_browse_projects_list,285,284,False
selenium_browse_boards_list,227,259,False
selenium_create_issue:open_quick_create,2067,2008,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,1927,1892,False
selenium_create_issue:fill_and_submit_issue_form,2557,2487,False
selenium_create_issue,4612,4493,False
selenium_edit_issue:open_edit_issue_form,436,446,False
selenium_edit_issue:save_edit_issue_form,659,698,False
selenium_edit_issue,1802,1853,False
selenium_save_comment:open_comment_form,210,214,False
selenium_save_comment:submit_form,563,619,False
selenium_save_comment,2664,2690,False
selenium_search_jql,1924,2040,False
selenium_view_scrum_board_backlog,2145,2137,False
selenium_view_scrum_board,2059,2113,False
selenium_view_kanban_board,2052,2071,False
selenium_view_dashboard,237,502,False
selenium_view_issue,467,506,False
selenium_log_out,1725,1209,False
