Action,1 Node,2 Nodes,4 Nodes,App-specific
jmeter_login_and_view_dashboard,431,541,542,False
jmeter_view_issue,312,277,262,False
jmeter_view_dashboard,207,189,172,False
jmeter_search_jql,742,642,615,False
jmeter_view_scrum_board,287,257,240,False
jmeter_view_backlog,460,371,361,False
jmeter_create_issue:open_quick_create,70,76,94,False
jmeter_create_issue:fill_and_submit_issue_form,212,183,186,False
jmeter_view_kanban_board,357,309,289,False
jmeter_browse_projects,117,102,94,False
jmeter_edit_issue:open_editor,144,138,125,False
jmeter_edit_issue:save_edit,399,356,323,False
jmeter_view_project_summary,175,154,153,False
jmeter_add_comment:open_comment,113,102,100,False
jmeter_add_comment:save_comment,373,314,298,False
jmeter_browse_boards,130,113,108,False
selenium_login:open_login_page,1190,1192,1192,False
selenium_login:login_and_view_dashboard,3632,3621,3734,False
selenium_login,4830,4814,4926,False
selenium_project_summary,510,520,502,False
selenium_browse_projects_list,288,288,304,False
selenium_browse_boards_list,227,250,321,False
selenium_create_issue:open_quick_create,2092,2100,2123,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,1978,1991,2009,False
selenium_create_issue:fill_and_submit_issue_form,2576,2603,2656,False
selenium_create_issue,4662,4694,4733,False
selenium_edit_issue:open_edit_issue_form,450,452,448,False
selenium_edit_issue:save_edit_issue_form,714,700,685,False
selenium_edit_issue,1894,1888,1878,False
selenium_save_comment:open_comment_form,239,220,211,False
selenium_save_comment:submit_form,635,622,622,False
selenium_save_comment,2788,2794,2815,False
selenium_search_jql,2186,2176,2124,False
selenium_view_scrum_board_backlog,2256,2304,2324,False
selenium_view_scrum_board,2198,2184,2228,False
selenium_view_kanban_board,2130,2156,2169,False
selenium_view_dashboard,502,515,508,False
selenium_view_issue,524,512,505,False
zephyr_scale_view_test_case_in_issue_view,576,556,617,True
zephyr_scale_view_test_cycle_in_issue_view,566,590,557,True
zephyr_scale_view_test_plan_in_issue_view,532,546,562,True
selenium_log_out,470,389,435,False
