Action,without app,with app,App-specific
jmeter_login_and_view_dashboard,1350,1356,False
jmeter_view_dashboard,755,766,False
jmeter_view_issue,862,913,False
jmeter_view_scrum_board,982,1031,False
jmeter_search_jql,1715,1803,False
jmeter_create_issue:open_quick_create,320,324,False
jmeter_view_backlog,1244,1318,False
jmeter_create_issue:fill_and_submit_issue_form,380,418,False
jmeter_view_kanban_board,885,922,False
jmeter_browse_projects,390,402,False
jmeter_edit_issue:open_editor,537,536,False
jmeter_edit_issue:save_edit,1038,1132,False
jmeter_view_project_summary,692,717,False
jmeter_add_comment:open_comment,489,494,False
jmeter_add_comment:save_comment,924,1001,False
jmeter_browse_boards,448,455,False
selenium_login:open_login_page,178,196,False
selenium_login:login_and_view_dashboard,2199,2810,False
selenium_login,2349,2969,False
selenium_project_summary,531,521,False
selenium_browse_projects_list,388,389,False
selenium_browse_boards_list,949,1439,False
selenium_create_issue:open_quick_create,831,1411,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,784,1276,False
selenium_create_issue:fill_and_submit_issue_form,1410,1887,False
selenium_create_issue,2263,3298,False
selenium_edit_issue:open_edit_issue_form,518,508,False
selenium_edit_issue:save_edit_issue_form,575,550,False
selenium_edit_issue,2061,2455,False
selenium_save_comment:open_comment_form,274,283,False
selenium_save_comment:submit_form,756,855,False
selenium_save_comment,1821,2339,False
selenium_search_jql,2088,2449,False
selenium_view_scrum_board_backlog,1310,1886,False
selenium_view_scrum_board,1057,1609,False
selenium_view_kanban_board,1215,1610,False
selenium_view_dashboard,314,500,False
selenium_view_issue,618,700,False
zephyr_scale_view_test_case_in_issue_view,20771,751,True
zephyr_scale_view_test_cycle_in_issue_view,20828,715,True
zephyr_scale_view_test_plan_in_issue_view,20834,754,True
selenium_log_out,535,463,False
