Action,without app,with app,App-specific
jmeter_login_and_view_dashboard,298,275,False
jmeter_view_page:open_page,946,723,False
jmeter_view_dashboard,308,305,False
jmeter_view_blog,1640,1403,False
jmeter_create_and_edit_page:create_page_editor,285,282,False
jmeter_create_and_edit_page:create_page,619,592,False
jmeter_create_and_edit_page:open_editor,115,115,False
jmeter_create_and_edit_page:edit_page,635,608,False
jmeter_create_and_edit_page:quick_edit_page,552,528,False
jmeter_create_blog:blog_editor,303,300,False
jmeter_create_blog:feel_and_publish,1121,1110,False
jmeter_search_cql:recently_viewed,124,131,False
jmeter_search_cql:search_results,284,281,False
jmeter_comment_page,160,160,False
jmeter_view_attachment,623,611,False
jmeter_upload_attachment,1267,1258,False
jmeter_like_page,188,185,False
selenium_login:open_login_page,131,131,False
selenium_login:login_and_view_dashboard,337,318,False
selenium_view_blog,1782,1630,False
selenium_view_dashboard,254,237,False
selenium_view_page,521,823,False
selenium_view_page_from_cache,368,544,False
selenium_create_page:open_create_page_editor,299,551,False
selenium_create_page:save_created_page,226,422,False
selenium_edit_page_by_url:open_create_page_editor,427,587,False
selenium_edit_page_by_url:save_edited_page,429,613,False
selenium_quick_edit_page_click:open_create_page_editor,331,502,False
selenium_quick_edit_page_click:save_edited_page,346,543,False
selenium_create_comment:write_comment,1318,1455,False
selenium_create_comment:save_comment,662,632,False
selenium_create_comment,2639,2630,False
zscale_specific_user_login,995,1483,True
view_test_cases_by_status_action,20762,673,True
view_test_cases_by_project_action,20774,618,True
view_test_cases_by_folder_action,20750,592,True
selenium_log_out,254,248,False
