Action,1 Node,2 Nodes,4 Nodes,App-specific
jmeter_login_and_view_dashboard,1356,1322,1256,False
jmeter_view_issue,913,1095,805,False
jmeter_search_jql,1803,2201,1523,False
jmeter_view_dashboard,766,858,719,False
jmeter_view_scrum_board,1031,1175,922,False
jmeter_view_backlog,1318,1576,1217,False
jmeter_create_issue:open_quick_create,324,358,334,False
jmeter_create_issue:fill_and_submit_issue_form,418,532,425,False
jmeter_view_kanban_board,922,1073,808,False
jmeter_browse_projects,402,465,365,False
jmeter_edit_issue:open_editor,536,629,510,False
jmeter_edit_issue:save_edit,1132,1326,1076,False
jmeter_view_project_summary,717,828,677,False
jmeter_add_comment:open_comment,494,572,475,False
jmeter_add_comment:save_comment,1001,1200,924,False
jmeter_browse_boards,455,536,431,False
selenium_login:open_login_page,196,211,159,False
selenium_login:login_and_view_dashboard,2810,2809,2888,False
selenium_login,2969,3009,3035,False
selenium_project_summary,521,564,502,False
selenium_browse_projects_list,389,426,363,False
selenium_browse_boards_list,1439,1445,1486,False
selenium_create_issue:open_quick_create,1411,1407,1412,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,1276,1290,1341,False
selenium_create_issue:fill_and_submit_issue_form,1887,1879,1946,False
selenium_create_issue,3298,3294,3365,False
selenium_edit_issue:open_edit_issue_form,508,574,488,False
selenium_edit_issue:save_edit_issue_form,550,619,535,False
selenium_edit_issue,2455,2592,2483,False
selenium_save_comment:open_comment_form,283,325,265,False
selenium_save_comment:submit_form,855,966,911,False
selenium_save_comment,2339,2503,2448,False
selenium_search_jql,2449,2330,2078,False
selenium_view_scrum_board_backlog,1886,1968,1853,False
selenium_view_scrum_board,1609,1672,1640,False
selenium_view_kanban_board,1610,1655,1626,False
selenium_view_dashboard,500,516,499,False
selenium_view_issue,700,763,657,False
zephyr_scale_view_test_case_in_issue_view,751,859,698,True
zephyr_scale_view_test_cycle_in_issue_view,715,808,705,True
zephyr_scale_view_test_plan_in_issue_view,754,844,705,True
selenium_log_out,463,496,461,False
