Action,1 Node,2 Nodes,4 Nodes,App-specific
jmeter_login_and_view_dashboard,275,300,359,False
jmeter_view_page:open_page,723,731,780,False
jmeter_view_blog,1403,1397,1432,False
jmeter_view_dashboard,305,310,317,False
jmeter_create_and_edit_page:create_page_editor,282,288,297,False
jmeter_create_and_edit_page:create_page,592,612,655,False
jmeter_create_and_edit_page:open_editor,115,117,120,False
jmeter_create_and_edit_page:edit_page,608,626,677,False
jmeter_create_and_edit_page:quick_edit_page,528,543,597,False
jmeter_create_blog:blog_editor,300,304,323,False
jmeter_create_blog:feel_and_publish,1110,1127,1216,False
jmeter_search_cql:recently_viewed,131,129,133,False
jmeter_search_cql:search_results,281,278,281,False
jmeter_comment_page,160,163,190,False
jmeter_view_attachment,611,612,644,False
jmeter_upload_attachment,1258,1234,1233,False
jmeter_like_page,185,188,196,False
selenium_login:open_login_page,131,132,134,False
selenium_login:login_and_view_dashboard,318,340,358,False
selenium_view_blog,1630,1634,1728,False
selenium_view_dashboard,237,243,276,False
selenium_view_page,823,778,904,False
selenium_view_page_from_cache,544,492,506,False
selenium_create_page:open_create_page_editor,551,555,575,False
selenium_create_page:save_created_page,422,429,415,False
selenium_edit_page_by_url:open_create_page_editor,587,597,608,False
selenium_edit_page_by_url:save_edited_page,613,626,689,False
selenium_quick_edit_page_click:open_create_page_editor,502,502,555,False
selenium_quick_edit_page_click:save_edited_page,543,532,667,False
selenium_create_comment:write_comment,1455,1447,1522,False
selenium_create_comment:save_comment,632,589,625,False
selenium_create_comment,2630,2652,2795,False
zscale_specific_user_login,1483,1464,1589,True
view_test_cases_by_status_action,673,664,705,True
view_test_cases_by_project_action,618,625,716,True
view_test_cases_by_folder_action,592,614,630,True
selenium_log_out,248,252,269,False
